nll,pi_aa,pi_ac,pi_ag,pi_at,pi_ca,pi_cc,pi_cg,pi_ct,pi_ga,pi_gc,pi_gg,pi_gt,pi_ta,pi_tc,pi_tg,pi_tt,s_0,s_1,s_2,s_3,s_4,s_5
38802.454213123965,0.08894,0.05198,0.05501,0.08699,0.06659,0.0339,0.038,0.07598,0.06503,0.03413,0.046,0.08001,0.07642,0.04802,0.05995,0.09305,6.723077041208913,0.0,0.0,0.7980445461483897,1.616331823188733,1.1291354413869516e-07
38591.74335663521,0.09565,0.05116,0.05403,0.09031,0.07393,0.04098,0.03102,0.055,0.04901,0.05202,0.05,0.06596,0.09303,0.05192,0.06494,0.08104,6.264214607901911,0.0,0.0,0.21899247449390227,1.09388789452288,0.8692143237073202
35590.89763563305,0.09399,0.06288,0.05999,0.07912,0.06095,0.04498,0.04799,0.04705,0.05498,0.03602,0.05085,0.05711,0.08302,0.05209,0.05399,0.11499,6.000856657329737,0.7862808565396621,0.0,0.0,1.700232437559152,0.0
36390.52875742897,0.08598,0.05304,0.04802,0.08207,0.06794,0.04171,0.02902,0.0603,0.05896,0.04797,0.05399,0.06009,0.07899,0.07795,0.05798,0.09599,5.751910330660812,0.1791188966501212,0.0,0.2930697910793744,1.6584902652645372,0.5212081205925642
37010.37368478231,0.07898,0.06195,0.07079,0.09934,0.05578,0.03603,0.03402,0.06315,0.05402,0.02497,0.037,0.06199,0.09291,0.068,0.06501,0.09606,4.3545583493863464,0.4961626510064143,0.0,0.19546343283262563,1.4856316138949495,2.0827018466727876
36511.71228595754,0.08493,0.05591,0.0571,0.09612,0.06091,0.0391,0.04699,0.04898,0.05803,0.03894,0.046,0.06004,0.07686,0.06796,0.06391,0.09822,6.080059547008189,0.4934233622123472,0.0,0.5763185080892346,1.6289809507593942,0.0
36404.63410887646,0.09002,0.067,0.05896,0.10508,0.054,0.03398,0.038,0.07187,0.05397,0.05198,0.04899,0.06209,0.07601,0.05399,0.058,0.07606,5.55773114262865,0.9584277871967418,0.0,0.2623047154410191,1.605747834415665,0.0
35687.84144456514,0.08801,0.05199,0.06702,0.07908,0.054,0.03501,0.04795,0.07295,0.05995,0.03391,0.04901,0.06812,0.08,0.06495,0.06202,0.08603,5.524221822284783,0.297786446797773,1.0897263789114437e-10,1.0897263789114437e-10,2.1262876619682376,0.6870507348851583
38351.43870994993,0.08996,0.04999,0.05205,0.08499,0.05801,0.04004,0.047,0.06198,0.06097,0.04394,0.04397,0.07808,0.078,0.05897,0.069,0.08305,6.028970358051443,0.0,0.0,0.20997781796612613,1.6037546984503033,0.8402236478163086
35509.920540330946,0.08701,0.05905,0.05697,0.08299,0.04697,0.03191,0.03409,0.06598,0.06889,0.03595,0.051,0.07116,0.09001,0.06092,0.05598,0.10112,6.067164610851456,0.0,0.0,0.47840954047387163,2.245543218645466,0.4445197643988358
35993.29179579136,0.09285,0.06001,0.07408,0.09616,0.05284,0.04005,0.03597,0.0471,0.07997,0.03199,0.04498,0.06701,0.08298,0.05501,0.05693,0.08207,4.782362255130879,1.5887479975266916,0.0,0.35334131506577265,1.9828343673697513,2.2191708746779285e-05
35808.45297025476,0.08599,0.06195,0.067,0.08756,0.05809,0.04599,0.04903,0.06594,0.05398,0.043,0.04699,0.05803,0.07799,0.05701,0.05903,0.08242,5.364370130629786,0.0,0.0,0.23534471298660697,2.0075611872540144,0.5920523947831557
37115.77083382235,0.07799,0.05899,0.05898,0.08005,0.05801,0.03292,0.04407,0.05201,0.05203,0.04098,0.05699,0.06398,0.103,0.06504,0.064,0.09096,6.924410240289865,0.3557251476102187,0.0,0.2023396211135837,1.5590884554161708,0.0
40146.89301294168,0.07904,0.07255,0.05404,0.08893,0.06595,0.04302,0.04597,0.054,0.05801,0.03799,0.04801,0.07198,0.08201,0.05344,0.058,0.08706,6.645057248344303,0.0,0.0,0.0,1.6431637059739077,0.0
38587.53164011051,0.08998,0.06398,0.06559,0.087,0.05899,0.03901,0.04499,0.06497,0.06199,0.03302,0.042,0.06302,0.07206,0.056,0.07043,0.08697,4.926084085079121,0.4904011660988326,0.0,0.0,2.2626618344286333,0.7422612985964829
