nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23
27233.204519375195,0.093506,0.039111,0.042679,0.089804,0.116813,0.12132899999999999,0.170022,0.081405,0.116957,0.128374,2.9345041341256044,0.5264324624213637,8.10052028693026,2.9778570468615397,2.4642083823369036,20.79776336038829,0.768469066659651,2.2885001217692733,2.5468832584597014,9.064019366178684,7.991030189505225,0.8548781016926866,1.2723171198567547,6.613140421726346,1.0003327307836558e-10,5.680614285909432,0.4817372922625747,2.3871831599390503,3.9403823813128263,1.5008431448476716,0.27235654637673723,2.290226970335325,6.431753359230743,0.7899031779577552
27326.561529117298,0.085535,0.038574,0.045202,0.092073,0.121169,0.118603,0.175899,0.080999,0.117756,0.12419,4.012501551381238,0.38972512700076745,7.186719086659519,5.096823824215184,3.8309642712071783,12.537485802804369,1.0884334501834814,3.0978415183181935,2.104916732350499,7.15559348662675,8.739613152239725,1.3677798685910596,0.6846576887598662,5.535701772362114,0.19769485752911226,6.094940207287515,1.1265509744202586,1.0314587737437784,8.1824198980569,1.9050591178751701,0.26909550863839643,0.8184146804468352,7.019865176526156,0.26606936905749845
27922.80486275566,0.08622,0.03794,0.043722,0.091524,0.11360200000000001,0.12173400000000001,0.182944,0.08388899999999999,0.118228,0.120197,1.742872377964358,0.32038573597336184,6.488989123668304,6.028749194116902,2.1322958493656023,15.310896989225643,0.9809262250849478,3.227655388157336,1.9533131857167396,9.697516436426763,11.920416397921308,2.47606818521082,0.7410995294808161,4.045776634008593,0.7196103964366467,5.866683566209092,0.8400650923338199,1.5061374798282843,5.626704400794343,0.9483894269129666,0.15790746038109782,1.0492141110416195,8.457024257461335,0.9690391640870745
27342.468011145786,0.086398,0.041587,0.042077,0.087855,0.112125,0.123652,0.179713,0.081311,0.123031,0.122251,2.9930271475604493,1.000422093436005e-10,8.482979398956461,4.07470594067776,2.795769889925163,16.601200765757255,0.36799426845147915,2.7717304153854503,3.39535163610113,8.022841350820952,9.616694065358956,1.4328937201757115,1.938180368486857,4.560591081900906,0.6286881571117595,6.670517704388953,0.5207771224137202,1.5227736140378978,6.374415826684626,1.1296993502105255,0.17534393940981674,0.9688610170718372,6.153589133355965,0.7695992947211829
27275.113981770664,0.086684,0.042185,0.045099,0.092076,0.112122,0.120484,0.17781000000000002,0.08158399999999999,0.121038,0.120918,2.678671720586916,0.38373213635186876,7.097611639422928,5.9505513309478335,2.2807017160445655,12.72315547421129,1.0059350712790063e-10,4.896168367001602,2.933885942181941,5.835303738815033,7.928233419507559,1.2559246089252099,1.328842436426285,6.117246017177811,1.0059350712790063e-10,6.941780951602573,0.9322585645516646,2.4251647459058505,7.018170278739113,1.6645720409154559,0.091945776674205,1.0098489383705214,8.50198874380264,1.0860724994582363
27487.64499302201,0.084681,0.038813,0.043497,0.091727,0.119394,0.119287,0.181,0.082115,0.119157,0.12032899999999999,4.050092082164827,0.7287019908101863,7.580610796226713,5.7434312685989175,2.3377386048090836,14.96699315104078,0.3608785218621893,2.652501973058852,2.4940845413467674,7.013691162348463,9.906099110902927,1.5306648543271217,0.922260906678176,4.338597504041089,0.5528591047164004,5.672979303530759,0.9510020200329455,1.707920470639143,6.793855129114916,1.3946141676901131,1.0013854033639043e-10,0.9536235616423924,8.149346760879496,1.2881927307588834
26930.746380095075,0.0834,0.035866,0.043103,0.089283,0.119373,0.121625,0.176184,0.082431,0.120432,0.128303,2.5296698193405036,1.0018164780712606e-10,5.291664680613163,4.362384607525078,0.6988982896179504,18.11090336578791,1.0018164780712606e-10,2.856855106504766,3.7529537258723984,7.595614989347186,10.403816404721901,2.185328756299249,0.7159478757713268,5.684222304427067,0.8580227053091394,5.096307572948166,1.1733174734811824,2.7061603808615984,6.060887991618223,1.177409550181142,1.0018164780712606e-10,1.6910304359012025,9.27374175828891,0.8055279475167456
27190.12507706913,0.0859,0.038718,0.040798,0.091997,0.11262,0.12031700000000001,0.181421,0.08424799999999999,0.12021599999999999,0.123765,2.446660858014633,0.5826014386571529,8.380113509957551,3.1014626090478776,3.6847638978187134,15.484971227245495,1.0008296798697508e-10,4.092604185979992,3.1626399813049795,7.259134519304445,9.768224241193739,2.094112890014315,1.4644446951201435,5.615214493423593,0.8412519896527586,5.251260897813565,0.9128962606684579,1.9570754432690898,5.577735412321834,1.525946300733751,1.0008296798697508e-10,1.5526579953587876,5.90659912424508,0.8039964512854482
27132.811507580696,0.090595,0.040096,0.042317,0.082611,0.118088,0.121309,0.179036,0.088177,0.11479700000000001,0.122974,1.8984131369997022,0.7370092130186758,5.729488907150119,4.233514542629243,3.9702442131852766,14.503696891022711,9.990548919988009e-11,2.2220829049316317,4.608725989590443,8.42272884939774,11.526927403061277,2.980962585261329,1.2705216660119434,5.667429823866618,0.39374208146194206,3.8907365548157578,0.37151487709916525,2.4619011957592516,8.244864405986375,1.5806444484067421,9.990548919988009e-11,0.9816801182749586,6.883375170884217,0.8530883969929409
27392.481932013103,0.086365,0.043045,0.045101,0.088444,0.11377999999999999,0.12140000000000001,0.178527,0.082603,0.12073500000000001,0.12,4.3541430002423445,1.0002372863444417e-10,7.031395487950177,4.7498251801069555,1.6374895281759012,15.959138016636755,1.0002372863444417e-10,4.120422059688149,3.5958828831670604,6.988874051787625,10.033925927772232,1.830789769601487,0.7026861014825712,5.7470510167445585,0.20579417114043705,4.937429749872016,0.8051463775605768,1.1584611308510346,5.973826888895014,1.2574307442763204,0.18036837298142064,1.7564420927245716,8.95529474127719,1.068658706032312
27651.525598045206,0.087663,0.038988,0.038696,0.093326,0.11829999999999999,0.12420199999999999,0.164137,0.083284,0.12393499999999999,0.127469,2.821829851447652,0.660394281905246,8.375884388381646,3.9186177311541206,4.57690004309868,17.577358978477083,1.0014703984189826e-10,2.7138245810486934,2.1971606324657165,7.210398674183456,8.419723417404256,1.3674119646365497,0.9797446615188604,6.844199554831339,0.36402767609280623,5.083561296929335,1.1539718305358755,2.630953872291981,5.297841209476191,1.152426235688775,0.08466957726392497,1.0509280243565584,6.6769350553956235,0.9178888421375209
27556.825459937954,0.088185,0.040028,0.041696,0.090568,0.113819,0.118694,0.170425,0.085292,0.12718400000000002,0.124109,2.236342294077403,0.18033771641628846,7.934303443835029,3.6592933059758566,3.8222962926267083,15.36556597926036,2.2557568367565177,2.593163076815467,1.7824772126479258,8.694209016454032,9.328095282428915,1.6625100154348462,0.6902457405635751,4.637441767806917,0.5810417765131294,4.639989299373665,0.9241160296292668,3.718410565942913,5.473906308723307,1.4591634932983355,0.2658917052637702,1.035935407738744,7.070290323519567,1.6560410237946142
27534.064831085307,0.081802,0.038413,0.041002,0.092666,0.12021599999999999,0.118395,0.181309,0.083775,0.117871,0.124551,2.955434172348375,0.5688694437893742,8.886813264284296,6.160357822290197,1.6805043317460233,15.398472990777996,1.0035192892159312e-10,2.1320796395224613,2.1662956663294044,7.553574635140193,9.74926564986854,1.7420662806744849,1.2837399539212504,5.126122371945263,1.0035192892159312e-10,6.062761825832032,0.6837713075971228,3.7123261042613507,4.74280702060714,1.1929683537097573,1.0035192892159312e-10,1.6822440828567045,6.143861507513328,0.9941889581885447
27227.243288864556,0.083973,0.041304,0.042796,0.085514,0.120313,0.118185,0.181727,0.081293,0.121768,0.12312700000000001,2.755881240425864,0.39881176363671555,6.101692211312967,4.302017964923366,3.50529179300163,13.581592210687411,1.5471924408473248,3.376294913894311,4.053240258283192,6.847592523856395,11.563705338033227,1.3040558172576004,0.5578919017593328,5.3300628961444865,0.2047622389246856,5.936918248194303,0.8304420979262181,2.898073322031463,5.572501815329182,1.4164624779219184,0.08884149891534775,2.003305285114366,8.097881288353113,1.181138252733364
